name,description,email,admin,logins_per_week,users,posts,connections,dmarc_policy
ieji.de,"ieji.de is useable via .onion, fast and well secured.",tor@ieji.de,SolSoCoG,1936,12352,144142,24590,Enforced (p=reject)
noc.social,"Open Source Social Network. Focused on technology, networking, linux, bsd's, privacy and security. ",dcid@noc.org,dcid,1914,12974,144385,18879,Missing
indieweb.social,"INDIEWEB.SOCIAL is a #Mastodon-based Fediverse instance that is a home for those who build, study, promote  - or are just fascinated by - a wide varie",indiewebsocial@gmail.com,tchambers,1850,10471,160942,24537,Missing
social.linux.pizza,A instance dedicated - but not limited - to people with an interest in the GNU+Linux ecosystem and/or general tech.,admin@selea.se,admin,1835,10640,312134,27553,Enforced (p=reject)
mastodont.cat,Instància de Mastodon dedicada a la comunitat de llengua i cultura catalana al voltant del #fedivers. Catalan people around the #fediverse.,contacte @ mastodont.cat,spla,1812,6835,773677,12459,Monitoring only (p=none)
defcon.social,"DEFCON.social is for hackers, researchers, activists, artists, lawyers, infosec and those interested in the intersection of technology & society",support@defcon.social,support,1800,3975,30293,11336,Enforced (p=quarantine)
mastodonbooks.net,"Mastodon Books is informative discussion related to books, recommendations, best in genre, trades, authors and new releases. ",hello@mastodonbooks.net,RogerRemacle,1731,1776,5860,6587,Missing
twingyeo.kr,한국어 사용자를 위한 Mastodon 인스턴스입니다.,contact@unstabler.pl,notice,1711,10836,1259273,17156,Missing
botsin.space,An instance devoted to bots and bot enthusiasts,colin@muffinlabs.com,muffinista,1635,6670,18559587,25879,Monitoring only (p=none)
eldritch.cafe,"Eldritch Café est une instance Mastodon pour les personnes queers, féministes et anarchistes ainsi que pour leurs sympathisant·e·s.",contact@eldritch.cafe,Barmaid,1586,12706,2028683,26553,Missing
glasgow.social,"For communities based in Glasgow, Scotland",neil@glasgow.social,neil,1567,14684,99356,16130,Missing
urbanists.social,,hello@urbanists.social,admins,1534,5335,66391,15322,Monitoring only (p=none)
framapiaf.org,,https://contact.framasoft.org,Framasoft,1495,10810,2098434,26065,Monitoring only (p=none)
climatejustice.social,This is an official mastodon instance for activists of the global climate justice and social justice movement.,paulatothepeople@riseup.net,PaulaToThePeople,1492,9431,204097,18331,Monitoring only (p=none)
cupoftea.social,"A Small Community Mastodon for Casual Chit-Chat. UK Based, A place for good and wholesome content ",Whiskeyomega@cupoftea.social,Whiskeyomega,1492,3583,15758,10073,Enforced (p=quarantine)
artsio.com,,kay@vstudio.art,khurrum,1412,2290,2592,6573,Missing
wandering.shop,The Wandering Shop is a Mastodon instance initially geared for the science fiction and fantasy community but open to anyone.,wandering.shop@proton.me,Johannab,1402,3222,861686,25514,Missing
litmind.club,"For people passionate about photography, filmmaking, modelling and image artists in general. Run by Litmind.com with love and care.",info@litmind.com,litmind,1402,3628,3820,6063,Missing
g0v.social,"去中心化社群架設的去中心化社群網站
",hi@devpoga.org,poga,1401,7048,638575,18934,Missing
theblower.au,,support@theblower.au,geton,1373,14306,56571,11104,Missing
mastodonczech.cz,Mastodon pro českou komunitu,david.slizek@lupa.cz,davidslizek,1359,4502,31211,9900,Missing
mastodon.berlin,Mastodon instance of Berlin area,provider@mastodon.berlin,permanizer,1352,1837,1575,7547,Missing
stoners.social,,tony@stoners.social,Tony,1350,1703,10222,6260,Missing
bildung.social,"Für alle, die gerne über Bildung unter den Bedingungen der digitalen Transformation diskutieren oder gemeinsam Projekte entwickeln wollen.",bildung.social@mailbox.org,fries,1336,2425,124041,20632,Missing
graphics.social,"A gathering place for the computer graphics community to discuss 3D and 2D graphics, computer science, and any related topics.",brian@jaxzin.com,brian,1328,3413,2914,10286,Missing
socel.net,Like animation or work in the industry? This is the instance for you!,socel@animationanomaly.com,admin,1327,8064,120994,19805,Missing
mastodontti.fi,This is a Finnish language Mastodon instance.,valvoja@mastodontti.fi,valvoja,1326,4661,116615,16923,Monitoring only (p=none)
sciences.social,"A place for the helpful discussions that happen in our hallways, sometimes happened on Twitter, and never on the ASA communications ""platform"".",markigra@sciences.social,markigra,1313,2773,41588,15121,Missing
thu.closed.social,,info@closed.social,closed_social,1303,14198,114876,18,Monitoring only (p=none)
mastodon.iriseden.eu,,admin@iriseden.fr,iriseden,1271,10437,23722,14292,Enforced (p=quarantine)
ruby.social,"This Mastodon instance is for people interested in Ruby, Rails, and Ruby-related topics.",james@ruby.social,james,1267,4750,84864,49009,Missing
respublicae.eu,,respublicae@runbox.eu,praetor,1240,1591,987125,9697,Missing
mastodon.chasem.dev,,mastodon@chasem.dev,chase,1213,2675,2511,5467,Missing
awscommunity.social,,mastodon@squarecows.com,Ric,1205,10836,114103,15097,Missing
genomic.social,A Mastodon server for the Genomic Science Community.,genomic.social@gmail.com,Psy_Fer_,1200,3219,42785,14178,Missing
metalhead.club,A Mastodon instance for Metal music fans. Hosted in Germany with 100% green energy.,mastoadmin@metalhead.club,thomas,1197,5076,232514,23381,Enforced (p=reject)
pouet.chapril.org,"Chapril, membre du collectif CHATONS, un projet de l'April.
https://www.chapril.org",pouet-support@chapril.org,chapriladmin,1197,4439,194264,19122,Monitoring only (p=none)
geekdom.social,,team@geekdom.social,geewiz,1195,2278,3697,7240,Missing
mastodon.bida.im,La più numerosa instanza mastodon in lingua italiana. Generalista e con un occhio di riguardo sulla privacy degli utenti,mastodon@bida.im,admin,1177,19751,807803,23426,Monitoring only (p=none)
wien.rocks,"Dies ist eine offizielle Mastodon Instanz für und über die lebenswerteste Stadt der Welt, Wien.",paulatothepeople@riseup.net,paula,1177,4154,103148,13979,Monitoring only (p=none)
sself.co,,inner@SSelf.co,SSelf,1159,7430,14172,9231,Monitoring only (p=none)
mastodon.xyz,"Generalistic and moderated instance. All opinions are welcome, but hate speeches are prohibited.",contact@thekinrar.fr,TheKinrar,1143,24147,1840696,33405,Missing
rollenspiel.social,"Eine Instanz von Gamer für Gamer; hier geht es um Rollenspiel, Pen & Paper, Tabletop, TCG und vieles mehr. Natürlich können sich hier auch gerne alle ",webmaster@rollenspiel.social,Tealk,1127,4290,130305,14859,Enforced (p=reject)
dju.social,Die Deutsche Journalistinnen- und Journalisten-Union (dju) in ver.di bietet hier einen Gemeinschaftsraum für Medienmenschen.,monique.hofmann@verdi.de,Monique_Hofmann,1121,5804,26087,10515,Monitoring only (p=none)
101010.pl,101010.pl jest polską instancją Mastodon,k.dmowski@outlook.com,xaphanpl,1109,7674,177538,22604,Missing
berlin.social,"Für Leute aus Berlin. Oder für jene, die Berliner Luft digital konsumieren.",info@cepharum.de,cepharum,1109,2467,77831,31151,Enforced (p=quarantine)
bark.lgbt,"Furry focused instance for critters that like to bark! LGBTQ+ run and friendly, active moderation",admin@bark.lgbt,bark,1101,2005,7139,5885,Enforced (p=reject)
journa.host,,info@journa.host,info,1093,2898,88217,16528,Missing
masto.pt,Portuguese instance,info@masto.pt,hugo,1080,6257,228481,23985,Missing
livellosegreto.it,,admin@livellosegreto.it,kenobit,1080,5416,218226,14806,Missing
octodon.social,The cutest general purpose safe instance. We love science and beautiful things. LGBT+ and PoC are welcome.,avoidstar@octodon.social,CobaltVelvet,1068,12180,2311291,28905,Missing
mastodon-belgium.be,"mastodon-belgium.be is a generic Mastodon instance, open to everybody but targeted at users in Belgium.
This server is also hosted in Belgium.",staff@mastodon-belgium.be,admin,1063,3119,85592,11228,Missing
convo.casa,General mastodon instance.,hi@convo.casa,lifeofguenter,1063,2768,5465,10632,Missing
mstdn.guru,,drikin@gmail.com,drikin,1060,4705,1545012,11345,Missing
mast.lat,,mast@mast.lat,admin,1039,1891,1494,2699,Missing
union.place,"The Union Place: a federated server for union members, orgs, friends, and allies. If you support labor and labor rights, you have a place here!",admin@union.place,tim,988,5413,74710,12490,Missing
kinky.business,"kinky.business is a Mastodon instance for the kink community. Safe, sane, consensual.",admin@kinky.business,bedtimedrillsgt,985,11843,318768,19365,Missing
muenster.im,"An instance for the german city of Münster, Northrhine-Westfalia.",info@muenster.im,thomas,970,4060,31741,14388,Enforced (p=quarantine)
mastodon.radio,An instance for the amateur (ham) radio community. ,m0yng@mg.mastodon.radio,M0YNG,970,2249,104988,20346,Missing
social.librem.one,,feedback@puri.sm,purism,961,6719,128505,24202,Enforced (p=reject)
androiddev.social,,admin@androiddev.social,Friendlyrobot,933,2284,27730,14349,Missing
rheinneckar.social,"Das soziale Netzwerk für die Rhein-Neckar-Region im Fediverse. Heidelberg, Mannheim, Ludwigshafen und alles drumherum.",admin@rheinneckar.social,admin,918,2920,14777,12418,Missing
phpc.social,PHP Community on Mastodon: We are dedicated to building and enriching the PHP community. Join us!,hello@phpcommunity.org,phpc,911,3279,69216,19787,Monitoring only (p=none)
tooot.im,Hebrew-centric community with strong rules against harassment and oppressive behaviors,yairmlll@gmail.com,yair,907,3014,365305,21871,Missing
climatejustice.rocks,,paulatothepeople@riseup.net,paula,902,2172,19956,11934,Monitoring only (p=none)
dresden.network,"Dresden.Network ist eine Mastodon Instanz für alle aus Dresden und Umgebung, aber dennoch offen für alle Leute (über 16)",markus@weingaertner-it.de,markus,892,3560,106696,18617,Enforced (p=quarantine)
pol.social,Polska Instancja,pomoc@ftdl.pl,piotrsikora,882,5163,25276,10883,Enforced (p=reject)
swiss.social,An instance for people from Switzerland or with a connection to Switzerland.,admin@swiss.social,chm,876,1747,42035,14006,Missing
digitalcourage.social,Diese Instanz wird von Digitalcourage e.V. in Bielefeld betrieben. Ein Konto kostet 1€/Monat.,mastodon-admin@digitalcourage.de,freiheit,870,2368,190097,20067,Missing
toad.social,"Toad.Social is optimized for performance, stability, and civility.",davetroy@icloud.com,davetroy,837,2434,147047,12999,Missing
qdon.space,한국 마스토돈 인스턴스 큐돈입니다,admins@qdon.space,qdon_support,836,2963,262260,8118,Enforced (p=quarantine)
beta.qdon.space,,admins@qdon.space,qdon_support,836,2964,262262,8119,Enforced (p=quarantine)
hostux.social,Beer and free software lovers - Friendly atmosphere and privacy-aware - Our server is hosted in France.,contact@hostux.social,alarig,826,7758,312415,19966,Enforced (p=quarantine)
h4.io,"Hello there 👋

h4 est un petit réseau social en comité restreint, d'une bande de pote un peu cool, qui font globalement des trucs sur des claviers 😄",contact@h4.io,wazaby,824,7251,37344,10733,Missing
snabelen.no,A norwegian instance for norwegian folks! ,snabelen@christoffertalleraas.no,SnabelAdmin,818,2229,74670,20592,Missing
witches.live,"Are you a witch? Are you two witches? Do you want to cast spells far, far away from fascists and jerks? Hello,",endcapitalism@witches.live,anna,816,4217,540169,119497,Missing
mastodon.me.uk,"A Mastodon instance, hosted in the UK, with a tech inclination but open to all.",james@floppy.org.uk,Floppy,812,2262,127475,23061,Missing
rubber.social,A BDSM-friendly instance for rubber and bondage fetishists,johnny@johnnygear.net,johnnygear,809,3048,55600,14002,Missing
tooting.ch,"Swiss based Mastodon instance, funded and maintained by fairsocialnet.ch 
Instance Suisse de Mastodon, financé et maintenu par fairsocialnet.ch ",support@fairsocialnet.ch,fairsocialnet,804,2552,115516,20768,Missing
toot.aquilenet.fr,"Aquilenet (Aquilenet.fr), fournisseur d'accès à Internet associatif, local et militant en Aquitaine vous accueille sur son instance Mastodon !",support@aquilenet.fr,Aquilenet,801,4597,145079,20145,Missing
me.ns.ci,NS中文嘟嘟,mastodon@mail.co.zw,hello,784,7870,838697,12412,Missing
mastodon.fun,Mastodon fun is an open Instance for everyone :),mastodon@mail.co.zw,hello,781,7870,838680,12410,Missing
mastodon.se,Swedish instance focused on Swedish users.,noc@sydit.se,stemid,781,2595,77103,20704,Missing
freiburg.social,Eine Mastodon-Instanz für Menschen aus der Region Freiburg im Breisgau,mastodon@freiburg.social,admin,776,2369,75980,14756,Missing
scholar.social,"An instance for researchers, teachers and students at all levels, one that you can be proud to put on the last slide of a presentation at a conference",scholar.social@protonmail.com,socrates,767,4813,377938,26352,Missing
lor.sh,linux.org.ru community instance,lor.sh@dumpstack.io,dump_stack,761,4227,267759,18890,Missing
historians.social,Historians.social is a history-oriented server open to all who are interested in history.,info@historians.social,lizcovart,758,1469,26967,9837,Missing
spore.social,,info@tryprojectmushroom.com,spore,750,1473,26213,12938,Missing
fulda.social,"German instance, hosted in Fulda/Hesse. Private Instanz aus Fulda, aber offen für alle.",kontakt@fulda.social,lars,744,3025,42372,14650,Missing
astrodon.social,,admin@astrodon.social,sebinthestars,744,2139,43422,15212,Missing
uiuxdev.social,,msr@uiuxdev.social,msr,740,4564,6324,9432,Missing
discuss.systems,Computer systems researchers and practitioners,dan@drkp.net,dan,734,2243,15170,10570,Monitoring only (p=none)
vmst.io,vmst.io is open to anyone who is interested in interacting with respectful people who are passionate about what we do.,vmstan@vmst.io,vmstan,734,3472,45135,14837,Enforced (p=reject)
hci.social,,hcisocial@googlegroups.com,andresmh,729,2135,35426,13455,Missing
paquita.masto.host,,paquitamastodon@gmail.com,paquita,703,1604,120800,14383,Enforced (p=quarantine)
woof.group,,admin@woof.group,admin,702,1319,95285,16510,Missing
mastodon.eus,Euskal komunitatearen fedibertsoko txokoa,kaixo@mastodon.eus,admin,701,4188,186198,15278,Missing
pewtix.com,"Instance public, modéré, disponible pour toutes et tous. Rejoignez-nous =)",contact@pewtix.com,bthommy,695,7661,25333,10807,Missing
medibubble.org,"Selbstverständlich ist auf diesem Server jede* und jeder* willkommen, ungeachtet des medizinischen Hintergrundes.",kontakt@medibubble.org,MedibubbleServer,692,1548,67517,10642,Missing
todon.eu,"Todon.eu is a radical leftist anti-authoritarian Mastodon server. We welcome anarchists, socialists, activists, the LGBTQIA+ community, etc.",todon@posteo.eu,admin,689,3952,312040,19734,Enforced (p=reject)
disabled.social,"A place for people who are chronically ill, mentally ill, disabled, and friends/families/allies.",mastmd@cmdoms.com,McCullohMD,688,2355,59840,12136,Enforced (p=quarantine)
hometech.social,,info@hometech.fm,seth,686,1248,926,4411,Missing
musician.social,"MUSICIAN.SOCIAL is an instance focused on Musicians who create, play, or love #jazz, #rock, #pop, #indie, #classical and all other types of #music.",ericdano@musician.social,ericdano,677,1836,5389,10649,Monitoring only (p=none)
writing.exchange,"Writing Exchange is a small, focused community for poets, writers, bloggers, and anyone else who makes things.",hi@writing.exchange,matt,675,3265,255260,25512,Missing
vis.social,"A social space for anyone in data, visualization, creative coding, and related arts and research.",admin@vis.social,kristinHenry,665,6119,110198,23853,Missing
pettingzoo.co,,tyr@pettingzoo.co,tyr,658,3292,54625,16594,Missing
yiff.life,LGBTQIA+ and furry friendly community.,help@yiff.life,sky,657,3330,801693,21934,Missing
fur.lgbt,,help@yiff.life,sky,657,3330,801693,21934,Missing
masto.nobigtech.es,,admin@nobigtech.es,niko,656,3559,111791,13560,Missing
lile.cl,Servidor chileno de Mastodon. Aspiramos a ser una comunidad acogedora y respetuosa de la privacidad de nuestrxs usuarixs.,contacto@lile.cl,lile,651,2914,140511,13660,Enforced (p=quarantine)
mstdn.io,"Fast, secure and up-to-date instance, welcoming everyone around the world. Join us!",hello at mstdn.io,admin,650,2105,1849853,27386,Monitoring only (p=none)
libretooth.gr,A small part of the fediverse,support@libreops.cc,libreops,649,2792,187036,17126,Missing
mastodon.zaclys.com,Mastodon by la mère zaclys association française,contact@zaclys.com,zaclys,646,3801,171403,22653,Enforced (p=reject)
hcommons.social,,hello@hcommons.org,hello,625,1376,31535,11727,Missing
peoplemaking.games,"PeopleMaking.Games is an invite-only, organic growth instance for all of the wonderful folks in and around games.",admin@peoplemaking.games,esdin,623,2404,46767,18197,Missing
ursal.zone,"Brazilian Instance. Progressive and antifascist.
Instância brasileira. Progressista e antifascista.",MapinduziSassa@protonmail,Ursalzona,602,2287,235354,18601,Monitoring only (p=none)
